Rec,Voltage,Tot. Diff. Cap.
,[V],[mAh/V]
134,2.7958,0
137,2.7958,
140,2.7958,
143,2.7957,
144,2.7957,
145,2.7957,
146,2.7955,
148,2.7957,
149,2.7954,
150,2.7957,
151,2.7955,
152,2.7957,
153,2.7955,
154,2.7954,
155,2.7955,
156,2.7954,
157,2.7955,
158,2.7954,
159,2.7952,
160,2.7954,
161,2.7954,
162,2.7952,
163,2.7952,
164,2.7954,
165,2.7951,
166,2.7952,
167,2.7951,
168,2.7951,
169,2.7951,
170,2.7948,
171,2.7951,
172,2.7948,
173,2.7951,
174,2.7949,
175,2.7948,
176,2.7949,
177,2.7949,
178,2.7949,
179,2.7948,
180,2.7949,
181,2.7948,
182,2.7946,
183,2.7946,
184,2.7946,
185,2.7949,
186,2.7946,
187,2.7946,
188,2.7948,
189,2.7945,
190,2.7945,
191,2.7945,
192,2.7943,
193,2.7945,
194,2.7943,
195,2.7942,
196,2.7943,
197,2.7943,
198,2.7943,
199,2.7943,
200,2.7942,
201,2.7942,
202,2.7943,
203,2.7937,
204,2.794,
205,2.7939,
206,2.7939,
207,2.794,
208,2.7939,
209,2.7939,
210,2.794,
211,2.7935,
212,2.7939,
213,2.7937,
214,2.7937,
215,2.7937,
216,2.7937,
217,2.7937,
218,2.7939,
219,2.7935,
220,2.7935,
221,2.7934,
222,2.7935,
223,2.7937,
224,2.7935,
225,2.7934,
226,2.7932,
227,2.7934,
228,2.7932,
229,2.7932,
230,2.7935,
231,2.7935,
232,2.7934,
233,2.7932,
234,2.7932,
235,2.7931,
236,2.7931,
237,2.7931,
238,2.7929,
239,2.7931,
240,2.7929,
241,2.7926,
242,2.7931,
243,2.7926,
244,2.7929,
245,2.7928,
246,2.7926,
247,2.7925,
248,2.7928,
249,2.7926,
250,2.7926,
251,2.7926,
252,2.7923,
253,2.7925,
254,2.7928,
255,2.7923,
256,2.7923,
257,2.7925,
258,2.7923,
259,2.7925,
260,2.792,
261,2.7923,
262,2.7923,
263,2.792,
264,2.7922,
265,2.792,
266,2.7925,
267,2.792,
268,2.7919,
269,2.7917,
270,2.7919,
271,2.7919,
272,2.7917,
273,2.792,
274,2.792,
275,2.7919,
276,2.7917,
277,2.7917,
278,2.7916,
279,2.7919,
280,2.7919,
281,2.7917,
282,2.7917,
283,2.7917,
284,2.7916,
285,2.7916,
286,2.7914,
287,2.7914,
288,2.7911,
289,2.7916,
290,2.7914,
291,2.7913,
292,2.7914,
293,2.7914,
294,2.7913,
295,2.7911,
296,2.7914,
297,2.7913,
298,2.7911,
299,2.7911,
300,2.7911,
301,2.7911,
302,2.791,
303,2.7911,
304,2.791,
305,2.7911,
306,2.7908,0
307,2.7905,
308,2.791,
309,2.7908,
310,2.7908,
311,2.7906,
312,2.7906,
313,2.7906,
314,2.7906,
315,2.7906,
316,2.7908,
317,2.7908,
318,2.7905,
319,2.7905,
320,2.7903,
321,2.7903,
322,2.7905,
323,2.7903,
324,2.7903,
325,2.7902,
326,2.7905,
327,2.7902,
328,2.7903,
329,2.7903,
330,2.79,
331,2.79,
332,2.7902,
333,2.7899,
334,2.79,
335,2.7897,
336,2.7897,
337,2.7899,
338,2.7899,
339,2.79,
340,2.7899,
341,2.7897,
342,2.7897,
343,2.7899,
344,2.7896,
345,2.7897,
346,2.7894,
347,2.7896,
348,2.7897,
349,2.7896,
350,2.7896,
351,2.7896,
352,2.7896,
353,2.7893,
354,2.7893,
355,2.7891,
356,2.7893,
357,2.7893,
358,2.7891,
359,2.7894,
360,2.7891,
361,2.7891,
362,2.789,
363,2.789,
364,2.7891,
365,2.789,
366,2.7888,
367,2.7888,
368,2.7888,
369,2.789,
370,2.7887,
371,2.7884,
372,2.7887,
373,2.7888,
374,2.7885,
375,2.7885,
376,2.7884,
377,2.7884,
378,2.7885,
379,2.7885,
380,2.7885,
381,2.7882,
382,2.7884,
383,2.7884,
384,2.7882,
385,2.7884,
386,2.7882,
387,2.7882,
388,2.7881,
389,2.7882,
390,2.7881,
391,2.7881,
392,2.7881,
393,2.7879,
394,2.7879,
395,2.7879,
396,2.7881,
397,2.7877,
398,2.7881,
399,2.7877,
400,2.7877,
401,2.7877,
402,2.7877,
403,2.7877,
404,2.7876,
405,2.7877,
406,2.7876,
407,2.7874,
408,2.7874,
409,2.7873,
410,2.7876,
411,2.7874,
412,2.7873,
413,2.7874,
414,2.7873,
415,2.7874,
416,2.7873,
417,2.7873,
418,2.7873,
419,2.7871,
420,2.7871,
421,2.7871,
422,2.7868,
423,2.7871,
424,2.787,
425,2.787,
426,2.7871,
427,2.7868,
428,2.787,
429,2.7868,
430,2.7868,
431,2.7867,
432,2.7867,
433,2.7868,
434,2.7867,
435,2.7867,
436,2.7867,
437,2.7864,
438,2.7865,
439,2.7867,
440,2.7865,
441,2.7865,
442,2.7864,
443,2.7864,
444,2.7861,
445,2.7864,
446,2.7864,
447,2.7862,
448,2.7864,
449,2.7864,
450,2.7862,
451,2.7862,
452,2.7861,
453,2.7861,
454,2.7864,
455,2.7859,
456,2.7859,
457,2.7859,
458,2.7856,0
459,2.7861,
460,2.7859,
461,2.7858,
462,2.7858,
463,2.7856,
464,2.7856,
465,2.7858,
466,2.7855,
467,2.7858,
468,2.7855,
469,2.7855,
470,2.7853,
471,2.7855,
472,2.7855,
473,2.7853,
474,2.7853,
475,2.7852,
476,2.7855,
477,2.785,
478,2.7853,
479,2.785,
480,2.785,
481,2.7852,
482,2.785,
483,2.785,
484,2.7848,
485,2.7848,
486,2.7848,
487,2.7848,
488,2.7848,
489,2.7848,
490,2.7847,
491,2.7847,
492,2.7848,
493,2.7845,
494,2.7845,
495,2.7845,
496,2.7845,
497,2.7845,
498,2.7845,
499,2.7842,
500,2.7842,
501,2.7845,
502,2.7845,
503,2.7842,
504,2.7842,
505,2.7842,
506,2.7841,
507,2.7842,
508,2.7842,
509,2.7842,
510,2.7841,
511,2.7842,
512,2.7841,
513,2.7839,
514,2.7841,
515,2.7839,
516,2.7841,
517,2.7841,
518,2.7841,
519,2.7839,
520,2.7838,
521,2.7836,
522,2.7836,
523,2.7836,
524,2.7836,
525,2.7838,
526,2.7836,
527,2.7833,
528,2.7838,
529,2.7836,
530,2.7835,
531,2.7835,
532,2.7835,
533,2.7836,
534,2.7833,
535,2.7833,
536,2.783,
537,2.7833,
538,2.783,
539,2.7832,
540,2.7829,
541,2.7832,
542,2.783,
543,2.783,
544,2.7832,
545,2.7827,
546,2.7827,
547,2.783,
548,2.7832,
549,2.7829,
550,2.7829,
551,2.7829,
552,2.7829,
553,2.7827,
554,2.7827,
555,2.7827,
556,2.7826,
557,2.7826,
558,2.7824,
559,2.7824,
560,2.7827,
561,2.7826,
562,2.7824,
563,2.7824,
564,2.7824,
565,2.7826,
566,2.7821,
567,2.7821,
568,2.7823,
569,2.7821,
570,2.7819,
571,2.7821,
572,2.7821,
573,2.7821,
574,2.7821,
575,2.7816,
576,2.7818,
577,2.7818,
578,2.7816,
579,2.7815,
580,2.7819,
581,2.7816,
582,2.7818,
583,2.7816,
584,2.7818,
585,2.7816,
586,2.7815,
587,2.7815,
588,2.7815,
589,2.7813,
590,2.7813,
591,2.7812,
592,2.7812,
593,2.7815,
594,2.7812,
595,2.781,
596,2.7813,
597,2.781,
598,2.781,
599,2.781,
600,2.7809,
601,2.7809,
602,2.7809,
603,2.7807,
604,2.7809,
605,2.7807,
606,2.7809,
607,2.7807,
608,2.7809,
609,2.781,
610,2.7809,
611,2.7806,0
612,2.7804,
613,2.7806,
614,2.7806,
615,2.7804,
616,2.7806,
617,2.7804,
618,2.7803,
619,2.7803,
620,2.7804,
621,2.7804,
622,2.7803,
623,2.7803,
624,2.7803,
625,2.7803,
626,2.7801,
627,2.7801,
628,2.7803,
629,2.7801,
630,2.78,
631,2.7801,
632,2.7798,
633,2.78,
634,2.7798,
635,2.7798,
636,2.7798,
637,2.7798,
638,2.7801,
639,2.7797,
640,2.78,
641,2.7797,
642,2.7795,
643,2.7797,
644,2.7797,
645,2.7797,
646,2.7797,
647,2.7795,
648,2.7795,
649,2.7795,
650,2.7795,
651,2.7794,
652,2.7792,
653,2.7794,
654,2.7795,
